Starting Simulation...
num_nodes is set 160
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 250.0
1) 119 receive (0) a RREP MaxSQ=1002, REC=501 ; MOY=1002 accepted 
4) 139 receive (16) a RREP MaxSQ=59, REC=8 ; MOY=14 accepted 
5) 106 receive (9) a RREP MaxSQ=46, REC=8 ; MOY=9 accepted 
3) 52 receive (4) a RREP MaxSQ=5021, REC=8 ; MOY=1673 accepted 
1) 118 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
6) 106 receive (16) a RREP MaxSQ=62, REC=8 ; MOY=10 accepted 
3) 141 receive (12) a RREP MaxSQ=37, REC=8 ; MOY=12 accepted 
3) 37 receive (16) a RREP MaxSQ=27034, REC=8 ; MOY=9011 accepted 
2) 14 receive (0) a RREP MaxSQ=22, REC=8 ; MOY=11 accepted 
3) 14 receive (16) a RREP MaxSQ=38, REC=8 ; MOY=12 accepted 
4) 35 receive (12) a RREP MaxSQ=43, REC=8 ; MOY=10 accepted 
5) 144 receive (12) a RREP MaxSQ=46, REC=8 ; MOY=9 accepted 
3) 16 receive (0) a RREP MaxSQ=33, REC=8 ; MOY=11 accepted 
5) 139 receive (16) a RREP MaxSQ=75, REC=8 ; MOY=15 accepted 
1) 46 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
2) 71 receive (16) a RREP MaxSQ=31, REC=8 ; MOY=15 accepted 
4) 141 receive (16) a RREP MaxSQ=53, REC=8 ; MOY=13 accepted 
4) 62 receive (0) a RREP MaxSQ=36, REC=8 ; MOY=9 accepted 
4) 14 receive (16) a RREP MaxSQ=54, REC=8 ; MOY=13 accepted 
1) 82 receive (16) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
2) 82 receive (16) a RREP MaxSQ=32, REC=8 ; MOY=16 accepted 
3) 82 receive (16) a RREP MaxSQ=48, REC=8 ; MOY=16 accepted 
4) 82 receive (16) a RREP MaxSQ=64, REC=8 ; MOY=16 accepted 
5) 112 receive (21003) a RREP MaxSQ=78016, REC=14001 ; MOY=15603 accepted 
5) 82 receive (22003) a RREP MaxSQ=28066, REC=14001 ; MOY=5613 refused 
8) 76 receive (9) a RREP MaxSQ=35066, REC=8 ; MOY=4383 accepted 
6) 17 receive (4) a RREP MaxSQ=2046, REC=8 ; MOY=341 accepted 
8) 66 receive (0) a RREP MaxSQ=14062, REC=8 ; MOY=1757 accepted 
9) 66 receive (17) a RREP MaxSQ=14078, REC=8 ; MOY=1564 accepted 
3) 13 receive (0) a RREP MaxSQ=43, REC=8 ; MOY=14 accepted 
3) 96 receive (0) a RREP MaxSQ=5026, REC=8 ; MOY=1675 accepted 
2) 145 receive (0) a RREP MaxSQ=24, REC=8 ; MOY=12 accepted 
10) 66 receive (17) a RREP MaxSQ=14094, REC=8 ; MOY=1409 accepted 
7) 17 receive (16) a RREP MaxSQ=2062, REC=8 ; MOY=294 accepted 
3) 68 receive (0) a RREP MaxSQ=5026, REC=8 ; MOY=1675 accepted 
4) 96 receive (16) a RREP MaxSQ=5042, REC=8 ; MOY=1260 accepted 
5) 96 receive (16) a RREP MaxSQ=5058, REC=8 ; MOY=1011 accepted 
2) 18 receive (9) a RREP MaxSQ=24, REC=8 ; MOY=12 accepted 
1) 82 receive (16) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
8) 17 receive (16) a RREP MaxSQ=2078, REC=8 ; MOY=259 accepted 
6) 112 receive (0) a RREP MaxSQ=78033, REC=8 ; MOY=13005 accepted 
4) 13 receive (16) a RREP MaxSQ=59, REC=8 ; MOY=14 accepted 
3) 145 receive (16) a RREP MaxSQ=40, REC=8 ; MOY=13 accepted 
6) 102 receive (0) a RREP MaxSQ=16060, REC=9 ; MOY=2676 accepted 
4) 39 receive (14) a RREP MaxSQ=39, REC=8 ; MOY=9 accepted 
3) 142 receive (9) a RREP MaxSQ=32, REC=8 ; MOY=10 accepted 
4) 68 receive (16) a RREP MaxSQ=5042, REC=8 ; MOY=1260 accepted 
2) 82 receive (16) a RREP MaxSQ=33, REC=8 ; MOY=16 accepted 
9) 76 receive (17) a RREP MaxSQ=35084, REC=9 ; MOY=3898 accepted 
6) 96 receive (16) a RREP MaxSQ=5074, REC=8 ; MOY=845 accepted 
3) 18 receive (16) a RREP MaxSQ=40, REC=8 ; MOY=13 accepted 
5) 39 receive (16) a RREP MaxSQ=55, REC=8 ; MOY=11 accepted 
7) 96 receive (16) a RREP MaxSQ=5090, REC=8 ; MOY=727 accepted 
11) 66 receive (17) a RREP MaxSQ=14112, REC=9 ; MOY=1282 accepted 
3) 82 receive (17) a RREP MaxSQ=49, REC=8 ; MOY=16 accepted 
7) 112 receive (17) a RREP MaxSQ=78051, REC=9 ; MOY=11150 accepted 
4) 82 receive (17) a RREP MaxSQ=67, REC=9 ; MOY=16 accepted 
1) 81 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
1) 150 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
3) 33 receive (7) a RREP MaxSQ=26, REC=8 ; MOY=8 accepted 
10) 76 receive (18) a RREP MaxSQ=35100, REC=8 ; MOY=3510 accepted 
1) 24 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
6) 39 receive (16) a RREP MaxSQ=71, REC=8 ; MOY=11 accepted 
1) 151 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
2) 24 receive (16) a RREP MaxSQ=32, REC=8 ; MOY=16 accepted 
7) 39 receive (16) a RREP MaxSQ=87, REC=8 ; MOY=12 accepted 
1) 70 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
2) 50 receive (0) a RREP MaxSQ=24, REC=8 ; MOY=12 accepted 
5) 82 receive (18) a RREP MaxSQ=83, REC=8 ; MOY=16 accepted 
7) 58 receive (5) a RREP MaxSQ=66, REC=8 ; MOY=9 accepted 
5) 13 receive (16) a RREP MaxSQ=75, REC=8 ; MOY=15 accepted 
1) 37 receive (27002) a RREP MaxSQ=29002, REC=14501 ; MOY=29002 accepted 
2) 37 receive (16) a RREP MaxSQ=29020, REC=9 ; MOY=14510 accepted 
3) 149 receive (0) a RREP MaxSQ=18029, REC=8 ; MOY=6009 accepted 
1) 40 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
4) 109 receive (12) a RREP MaxSQ=37031, REC=8 ; MOY=9257 accepted 
2) 72 receive (0) a RREP MaxSQ=31, REC=9 ; MOY=15 accepted 
3) 90 receive (0) a RREP MaxSQ=38, REC=8 ; MOY=12 accepted 
3) 37 receive (18) a RREP MaxSQ=29036, REC=8 ; MOY=9678 accepted 
4) 149 receive (16) a RREP MaxSQ=18045, REC=8 ; MOY=4511 accepted 
5) 109 receive (16) a RREP MaxSQ=37047, REC=8 ; MOY=7409 accepted 
4) 108 receive (5) a RREP MaxSQ=38, REC=8 ; MOY=9 accepted 
6) 109 receive (16) a RREP MaxSQ=37063, REC=8 ; MOY=6177 accepted 
4) 131 receive (16) a RREP MaxSQ=53, REC=8 ; MOY=13 accepted 
5) 149 receive (16) a RREP MaxSQ=18061, REC=8 ; MOY=3612 accepted 
10) 117 receive (16) a RREP MaxSQ=105, REC=8 ; MOY=10 accepted 
3) 71 receive (0) a RREP MaxSQ=34, REC=1 ; MOY=11 accepted 
4) 132 receive (14) a RREP MaxSQ=39, REC=8 ; MOY=9 accepted 
4) 26 receive (16) a RREP MaxSQ=56, REC=8 ; MOY=14 accepted 
6) 149 receive (16) a RREP MaxSQ=18079, REC=9 ; MOY=3013 accepted 
4) 122 receive (0) a RREP MaxSQ=42, REC=8 ; MOY=10 accepted 
3) 72 receive (19) a RREP MaxSQ=47, REC=8 ; MOY=15 accepted 
4) 71 receive (3) a RREP MaxSQ=42, REC=4 ; MOY=10 accepted 
5) 122 receive (16) a RREP MaxSQ=58, REC=8 ; MOY=11 accepted 
5) 71 receive (8) a RREP MaxSQ=50, REC=4 ; MOY=10 accepted 
4) 159 receive (14) a RREP MaxSQ=50, REC=8 ; MOY=12 accepted 
6) 122 receive (16) a RREP MaxSQ=74, REC=8 ; MOY=12 accepted 
4) 90 receive (16) a RREP MaxSQ=54, REC=8 ; MOY=13 accepted 
6) 34 receive (7) a RREP MaxSQ=61, REC=8 ; MOY=10 accepted 
5) 159 receive (16) a RREP MaxSQ=66, REC=8 ; MOY=13 accepted 
2) 10 receive (14) a RREP MaxSQ=29, REC=8 ; MOY=14 accepted 
5) 108 receive (16) a RREP MaxSQ=54, REC=8 ; MOY=10 accepted 
5) 131 receive (16) a RREP MaxSQ=69, REC=8 ; MOY=13 accepted 
3) 8 receive (0) a RREP MaxSQ=30, REC=8 ; MOY=10 accepted 
11) 117 receive (16) a RREP MaxSQ=121, REC=8 ; MOY=11 accepted 
3) 55 receive (16) a RREP MaxSQ=41, REC=8 ; MOY=13 accepted 
1) 116 receive (0) a RREP MaxSQ=16, REC=8 ; MOY=16 accepted 
3) 87 receive (0) a RREP MaxSQ=27, REC=8 ; MOY=9 accepted 
6) 108 receive (16) a RREP MaxSQ=70, REC=8 ; MOY=11 accepted 
5) 26 receive (16) a RREP MaxSQ=72, REC=8 ; MOY=14 accepted 
7) 109 receive (16) a RREP MaxSQ=37081, REC=9 ; MOY=5297 accepted 
5) 132 receive (16) a RREP MaxSQ=55, REC=8 ; MOY=11 accepted 
6) 159 receive (16) a RREP MaxSQ=82, REC=8 ; MOY=13 accepted 
4) 72 receive (19) a RREP MaxSQ=63, REC=8 ; MOY=15 accepted 
7) 135 receive (12) a RREP MaxSQ=60, REC=8 ; MOY=8 accepted 
7) 108 receive (16) a RREP MaxSQ=86, REC=8 ; MOY=12 accepted 
4) 87 receive (16) a RREP MaxSQ=43, REC=8 ; MOY=10 accepted 
8) 135 receive (16) a RREP MaxSQ=76, REC=8 ; MOY=9 accepted 
7) 149 receive (18) a RREP MaxSQ=18095, REC=8 ; MOY=2585 accepted 
5) 87 receive (16) a RREP MaxSQ=59, REC=8 ; MOY=11 accepted 
6) 87 receive (16) a RREP MaxSQ=75, REC=8 ; MOY=12 accepted 
7) 34 receive (16) a RREP MaxSQ=77, REC=8 ; MOY=11 accepted 
4) 8 receive (16) a RREP MaxSQ=46, REC=8 ; MOY=11 accepted 
4) 55 receive (16) a RREP MaxSQ=57, REC=8 ; MOY=14 accepted 
8) 108 receive (16) a RREP MaxSQ=102, REC=8 ; MOY=12 accepted 
6) 131 receive (16) a RREP MaxSQ=85, REC=8 ; MOY=14 accepted 
12) 117 receive (16) a RREP MaxSQ=137, REC=8 ; MOY=11 accepted 
6) 26 receive (16) a RREP MaxSQ=88, REC=8 ; MOY=14 accepted 
5) 72 receive (19) a RREP MaxSQ=79, REC=8 ; MOY=15 accepted 
3) 29 receive (17) a RREP MaxSQ=45, REC=10 ; MOY=15 accepted 
1) 112 receive (18) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
3) 69 receive (16) a RREP MaxSQ=42, REC=9 ; MOY=14 accepted 
1) 20 receive (0) a RREP MaxSQ=30002, REC=15001 ; MOY=30002 accepted 
4) 29 receive (20) a RREP MaxSQ=64, REC=9 ; MOY=16 accepted 
4) 37 receive (18) a RREP MaxSQ=29052, REC=8 ; MOY=7263 accepted 
2) 119 receive (0) a RREP MaxSQ=30, REC=9 ; MOY=15 accepted 
2) 112 receive (18) a RREP MaxSQ=36, REC=9 ; MOY=18 accepted 
4) 69 receive (18) a RREP MaxSQ=60, REC=9 ; MOY=15 accepted 
3) 125 receive (12) a RREP MaxSQ=32, REC=9 ; MOY=10 accepted 
4) 125 receive (18) a RREP MaxSQ=48, REC=8 ; MOY=12 accepted 
5) 37 receive (18) a RREP MaxSQ=29070, REC=9 ; MOY=5814 accepted 
2) 20 receive (0) a RREP MaxSQ=30020, REC=9 ; MOY=15010 accepted 
3) 112 receive (28002) a RREP MaxSQ=30038, REC=15001 ; MOY=10012 refused 
1) 112 receive (18) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
3) 53 receive (0) a RREP MaxSQ=45, REC=9 ; MOY=15 accepted 
6) 37 receive (18) a RREP MaxSQ=29088, REC=9 ; MOY=4848 accepted 
5) 29 receive (20) a RREP MaxSQ=82, REC=9 ; MOY=16 accepted 
2) 112 receive (18) a RREP MaxSQ=36, REC=9 ; MOY=18 accepted 
7) 37 receive (18) a RREP MaxSQ=29106, REC=9 ; MOY=4158 accepted 
5) 69 receive (18) a RREP MaxSQ=78, REC=9 ; MOY=15 accepted 
4) 88 receive (0) a RREP MaxSQ=31032, REC=15501 ; MOY=7758 refused 
9) 108 receive (14) a RREP MaxSQ=120, REC=9 ; MOY=13 accepted 
7) 131 receive (13) a RREP MaxSQ=103, REC=9 ; MOY=14 accepted 
13) 117 receive (13) a RREP MaxSQ=155, REC=9 ; MOY=11 accepted 
3) 5 receive (9) a RREP MaxSQ=34, REC=9 ; MOY=11 accepted 
6) 29 receive (0) a RREP MaxSQ=100, REC=9 ; MOY=16 accepted 
5) 152 receive (16) a RREP MaxSQ=51046, REC=9 ; MOY=10209 accepted 
1) 158 receive (0) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
1) 3 receive (17) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
1) 112 receive (18) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
2) 118 receive (16) a RREP MaxSQ=34, REC=9 ; MOY=17 accepted 
3) 118 receive (18) a RREP MaxSQ=52, REC=9 ; MOY=17 accepted 
4) 118 receive (0) a RREP MaxSQ=32054, REC=16001 ; MOY=8013 refused 
2) 112 receive (18) a RREP MaxSQ=36, REC=9 ; MOY=18 accepted 
1) 118 receive (18) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
4) 53 receive (18) a RREP MaxSQ=61, REC=8 ; MOY=15 accepted 
3) 112 receive (18) a RREP MaxSQ=54, REC=9 ; MOY=18 accepted 
14) 117 receive (16) a RREP MaxSQ=176, REC=10 ; MOY=12 accepted 
2) 40 receive (16) a RREP MaxSQ=34, REC=9 ; MOY=17 accepted 
4) 112 receive (18) a RREP MaxSQ=72, REC=9 ; MOY=18 accepted 
8) 131 receive (16) a RREP MaxSQ=124, REC=10 ; MOY=15 accepted 
10) 108 receive (16) a RREP MaxSQ=141, REC=10 ; MOY=14 accepted 
2) 100 receive (0) a RREP MaxSQ=26, REC=9 ; MOY=13 accepted 
3) 78 receive (0) a RREP MaxSQ=13036, REC=9 ; MOY=4345 accepted 
7) 22 receive (4) a RREP MaxSQ=79, REC=10 ; MOY=11 accepted 
5) 53 receive (18) a RREP MaxSQ=80, REC=9 ; MOY=16 accepted 
2) 73 receive (0) a RREP MaxSQ=26, REC=9 ; MOY=13 accepted 
6) 13 receive (16) a RREP MaxSQ=96, REC=10 ; MOY=16 accepted 
3) 40 receive (18) a RREP MaxSQ=52, REC=9 ; MOY=17 accepted 
8) 37 receive (18) a RREP MaxSQ=29125, REC=9 ; MOY=3640 accepted 
5) 112 receive (18) a RREP MaxSQ=90, REC=9 ; MOY=18 accepted 
3) 100 receive (18) a RREP MaxSQ=45, REC=9 ; MOY=15 accepted 
3) 73 receive (18) a RREP MaxSQ=45, REC=9 ; MOY=15 accepted 
6) 112 receive (18) a RREP MaxSQ=108, REC=9 ; MOY=18 accepted 
2) 158 receive (0) a RREP MaxSQ=37, REC=9 ; MOY=18 accepted 
4) 78 receive (18) a RREP MaxSQ=13055, REC=9 ; MOY=3263 accepted 
1) 56 receive (0) a RREP MaxSQ=18, REC=9 ; MOY=18 accepted 
4) 40 receive (18) a RREP MaxSQ=71, REC=9 ; MOY=17 accepted 
7) 112 receive (18) a RREP MaxSQ=127, REC=9 ; MOY=18 accepted 
2) 56 receive (18) a RREP MaxSQ=36, REC=9 ; MOY=18 accepted 
2) 85 receive (0) a RREP MaxSQ=26, REC=9 ; MOY=13 accepted 
3) 85 receive (18) a RREP MaxSQ=44, REC=9 ; MOY=14 accepted 
3) 158 receive (19) a RREP MaxSQ=55, REC=9 ; MOY=18 accepted 
6) 152 receive (0) a RREP MaxSQ=51066, REC=10 ; MOY=8511 accepted 
3) 56 receive (18) a RREP MaxSQ=56, REC=10 ; MOY=18 accepted 
4) 85 receive (18) a RREP MaxSQ=64, REC=10 ; MOY=16 accepted 
4) 158 receive (19) a RREP MaxSQ=75, REC=10 ; MOY=18 accepted 
1) 78 receive (5003) a RREP MaxSQ=33002, REC=16501 ; MOY=33002 accepted 
6) 69 receive (18) a RREP MaxSQ=97, REC=9 ; MOY=16 accepted 
7) 69 receive (19) a RREP MaxSQ=117, REC=10 ; MOY=16 accepted 
4) 36 receive (16) a RREP MaxSQ=59, REC=10 ; MOY=14 accepted 
2) 78 receive (19) a RREP MaxSQ=33021, REC=9 ; MOY=16510 accepted 
3) 123 receive (16) a RREP MaxSQ=46, REC=9 ; MOY=15 accepted 
5) 36 receive (21) a RREP MaxSQ=80, REC=10 ; MOY=16 accepted 
4) 123 receive (19) a RREP MaxSQ=68, REC=11 ; MOY=17 accepted 
5) 123 receive (22) a RREP MaxSQ=87, REC=9 ; MOY=17 accepted 
8) 69 receive (20) a RREP MaxSQ=136, REC=9 ; MOY=17 accepted 
6) 36 receive (21) a RREP MaxSQ=101, REC=10 ; MOY=16 accepted 
9) 69 receive (20) a RREP MaxSQ=156, REC=10 ; MOY=17 accepted 
7) 26 receive (16) a RREP MaxSQ=109, REC=10 ; MOY=15 accepted 
3) 119 receive (18) a RREP MaxSQ=49, REC=9 ; MOY=16 accepted 
6) 123 receive (22) a RREP MaxSQ=108, REC=10 ; MOY=18 accepted 
4) 119 receive (19) a RREP MaxSQ=71, REC=11 ; MOY=17 accepted 
3) 20 receive (18) a RREP MaxSQ=30039, REC=9 ; MOY=10013 accepted 
10) 69 receive (20) a RREP MaxSQ=175, REC=9 ; MOY=17 accepted 
11) 69 receive (20) a RREP MaxSQ=197, REC=11 ; MOY=17 accepted 
3) 78 receive (19) a RREP MaxSQ=33040, REC=9 ; MOY=11013 accepted 
4) 78 receive (19) a RREP MaxSQ=33060, REC=10 ; MOY=8265 accepted 
5) 78 receive (20) a RREP MaxSQ=33082, REC=11 ; MOY=6616 accepted 
5) 119 receive (22) a RREP MaxSQ=92, REC=10 ; MOY=18 accepted 
4) 42 receive (16) a RREP MaxSQ=22045, REC=9 ; MOY=5511 accepted 
6) 78 receive (22) a RREP MaxSQ=33101, REC=9 ; MOY=5516 accepted 
7) 78 receive (22) a RREP MaxSQ=33121, REC=10 ; MOY=4731 accepted 
2) 118 receive (0) a RREP MaxSQ=29, REC=5 ; MOY=14 accepted 
1) 88 receive (16) a RREP MaxSQ=11, REC=5 ; MOY=11 accepted 
1) 40 receive (19) a RREP MaxSQ=22, REC=11 ; MOY=22 accepted 
6) 139 receive (16) a RREP MaxSQ=94, REC=9 ; MOY=15 accepted 
2) 40 receive (22) a RREP MaxSQ=41, REC=9 ; MOY=20 accepted 
3) 40 receive (22) a RREP MaxSQ=60, REC=9 ; MOY=20 accepted 
4) 40 receive (22) a RREP MaxSQ=79, REC=9 ; MOY=19 accepted 
8) 109 receive (19003) a RREP MaxSQ=71083, REC=17001 ; MOY=8885 refused 
8) 58 receive (16) a RREP MaxSQ=87, REC=10 ; MOY=10 accepted 
12) 66 receive (18) a RREP MaxSQ=14131, REC=9 ; MOY=1177 accepted 
2) 88 receive (0) a RREP MaxSQ=31, REC=10 ; MOY=15 accepted 
6) 121 receive (12) a RREP MaxSQ=59, REC=10 ; MOY=9 refused 
1) 109 receive (18) a RREP MaxSQ=20, REC=10 ; MOY=20 accepted 
11) 76 receive (18) a RREP MaxSQ=35122, REC=11 ; MOY=3192 accepted 
5) 40 receive (22) a RREP MaxSQ=99, REC=10 ; MOY=19 accepted 
7) 139 receive (19) a RREP MaxSQ=113, REC=9 ; MOY=16 accepted 
6) 40 receive (22) a RREP MaxSQ=118, REC=9 ; MOY=19 accepted 
13) 66 receive (19) a RREP MaxSQ=14153, REC=11 ; MOY=1088 accepted 
12) 76 receive (22) a RREP MaxSQ=35143, REC=10 ; MOY=2928 accepted 
8) 139 receive (19) a RREP MaxSQ=135, REC=11 ; MOY=16 accepted 
7) 40 receive (22) a RREP MaxSQ=140, REC=11 ; MOY=20 accepted 
1) 137 receive (0) a RREP MaxSQ=19, REC=9 ; MOY=19 accepted 
7) 102 receive (18) a RREP MaxSQ=16079, REC=9 ; MOY=2297 accepted 
2) 109 receive (20) a RREP MaxSQ=40, REC=10 ; MOY=20 accepted 
13) 76 receive (22) a RREP MaxSQ=35163, REC=10 ; MOY=2704 accepted 
3) 88 receive (20) a RREP MaxSQ=50, REC=9 ; MOY=16 accepted 
14) 76 receive (22) a RREP MaxSQ=35182, REC=9 ; MOY=2513 accepted 
8) 102 receive (19) a RREP MaxSQ=16102, REC=11 ; MOY=2012 accepted 
14) 66 receive (22) a RREP MaxSQ=14173, REC=10 ; MOY=1012 accepted 
3) 32 receive (11) a RREP MaxSQ=44, REC=10 ; MOY=14 accepted 
3) 109 receive (20) a RREP MaxSQ=62, REC=11 ; MOY=20 accepted 
8) 40 receive (22) a RREP MaxSQ=162, REC=11 ; MOY=20 accepted 
15) 76 receive (22) a RREP MaxSQ=35205, REC=11 ; MOY=2347 accepted 
15) 66 receive (22) a RREP MaxSQ=14196, REC=11 ; MOY=946 accepted 
1) 38 receive (0) a RREP MaxSQ=19, REC=9 ; MOY=19 accepted 
9) 139 receive (22) a RREP MaxSQ=158, REC=11 ; MOY=17 accepted 
9) 102 receive (23) a RREP MaxSQ=16121, REC=9 ; MOY=1791 accepted 
16) 76 receive (23) a RREP MaxSQ=35225, REC=10 ; MOY=2201 accepted 
9) 40 receive (22) a RREP MaxSQ=185, REC=11 ; MOY=20 accepted 
16) 66 receive (23) a RREP MaxSQ=14218, REC=11 ; MOY=888 accepted 
17) 76 receive (23) a RREP MaxSQ=35244, REC=9 ; MOY=2073 accepted 
10) 102 receive (23) a RREP MaxSQ=16142, REC=10 ; MOY=1614 accepted 
11) 102 receive (23) a RREP MaxSQ=16163, REC=10 ; MOY=1469 accepted 
5) 158 receive (0) a RREP MaxSQ=35077, REC=17501 ; MOY=7015 refused 
7) 138 receive (16) a RREP MaxSQ=83, REC=10 ; MOY=11 accepted 
4) 18 receive (16) a RREP MaxSQ=63, REC=11 ; MOY=15 accepted 
5) 62 receive (16) a RREP MaxSQ=57, REC=10 ; MOY=11 accepted 
5) 18 receive (23) a RREP MaxSQ=81, REC=9 ; MOY=16 accepted 
6) 129 receive (16) a RREP MaxSQ=2065, REC=10 ; MOY=344 accepted 
4) 52 receive (16) a RREP MaxSQ=5042, REC=10 ; MOY=1260 accepted 
8) 112 receive (9) a RREP MaxSQ=130, REC=1 ; MOY=16 accepted 
3) 50 receive (9) a RREP MaxSQ=44, REC=10 ; MOY=14 accepted 
6) 18 receive (23) a RREP MaxSQ=104, REC=11 ; MOY=17 accepted 
5) 45 receive (16) a RREP MaxSQ=5050, REC=10 ; MOY=1010 accepted 
2) 95 receive (16) a RREP MaxSQ=39, REC=11 ; MOY=19 accepted 
3) 95 receive (23) a RREP MaxSQ=62, REC=11 ; MOY=20 accepted 
6) 62 receive (21) a RREP MaxSQ=80, REC=11 ; MOY=13 accepted 
6) 74 receive (12) a RREP MaxSQ=66, REC=10 ; MOY=11 accepted 
1) 105 receive (0) a RREP MaxSQ=21, REC=10 ; MOY=21 accepted 
7) 129 receive (21) a RREP MaxSQ=2088, REC=11 ; MOY=298 accepted 
7) 62 receive (23) a RREP MaxSQ=103, REC=11 ; MOY=14 accepted 
8) 129 receive (23) a RREP MaxSQ=2111, REC=11 ; MOY=263 accepted 
1) 103 receive (0) a RREP MaxSQ=20, REC=10 ; MOY=20 accepted 
5) 52 receive (21) a RREP MaxSQ=5065, REC=11 ; MOY=1013 accepted 
3) 2 receive (9) a RREP MaxSQ=32, REC=10 ; MOY=10 accepted 
6) 45 receive (21) a RREP MaxSQ=5073, REC=11 ; MOY=845 accepted 
2) 105 receive (21) a RREP MaxSQ=44, REC=11 ; MOY=22 accepted 
4) 2 receive (0) a RREP MaxSQ=53, REC=10 ; MOY=13 accepted 
6) 52 receive (23) a RREP MaxSQ=5088, REC=11 ; MOY=848 accepted 
1) 121 receive (12) a RREP MaxSQ=21, REC=10 ; MOY=21 accepted 
1) 4 receive (17) a RREP MaxSQ=23, REC=11 ; MOY=23 accepted 
9) 131 receive (18) a RREP MaxSQ=144, REC=10 ; MOY=16 accepted 
9) 129 receive (23) a RREP MaxSQ=2132, REC=10 ; MOY=236 accepted 
15) 117 receive (18) a RREP MaxSQ=196, REC=10 ; MOY=13 accepted 
4) 32 receive (13) a RREP MaxSQ=64, REC=10 ; MOY=16 accepted 
1) 107 receive (0) a RREP MaxSQ=21, REC=10 ; MOY=21 accepted 
2) 70 receive (17) a RREP MaxSQ=37, REC=10 ; MOY=18 accepted 
2) 121 receive (21) a RREP MaxSQ=42, REC=10 ; MOY=21 accepted 
2) 38 receive (0) a RREP MaxSQ=39, REC=10 ; MOY=19 accepted 
4) 25 receive (16) a RREP MaxSQ=55, REC=10 ; MOY=13 accepted 
10) 129 receive (23) a RREP MaxSQ=2153, REC=10 ; MOY=215 accepted 
4) 56 receive (0) a RREP MaxSQ=76, REC=10 ; MOY=19 accepted 
1) 3 receive (19) a RREP MaxSQ=20, REC=10 ; MOY=20 accepted 
7) 74 receive (21) a RREP MaxSQ=87, REC=10 ; MOY=12 accepted 
7) 45 receive (23) a RREP MaxSQ=5096, REC=11 ; MOY=728 accepted 
3) 105 receive (23) a RREP MaxSQ=67, REC=11 ; MOY=22 accepted 
2) 4 receive (23) a RREP MaxSQ=46, REC=11 ; MOY=23 accepted 
9) 17 receive (12) a RREP MaxSQ=2100, REC=11 ; MOY=233 accepted 
8) 62 receive (9) a RREP MaxSQ=125, REC=11 ; MOY=15 accepted 
5) 14 receive (7) a RREP MaxSQ=76, REC=11 ; MOY=15 accepted 
2) 79 receive (0) a RREP MaxSQ=38, REC=11 ; MOY=19 accepted 
10) 139 receive (16) a RREP MaxSQ=180, REC=11 ; MOY=18 accepted 
8) 78 receive (16) a RREP MaxSQ=33143, REC=11 ; MOY=4142 accepted 
4) 88 receive (16) a RREP MaxSQ=72, REC=11 ; MOY=18 accepted 
1) 3 receive (21) a RREP MaxSQ=22, REC=11 ; MOY=22 accepted 
16) 117 receive (21) a RREP MaxSQ=221, REC=12 ; MOY=13 accepted 
10) 131 receive (21) a RREP MaxSQ=169, REC=12 ; MOY=16 accepted 
5) 2 receive (21) a RREP MaxSQ=78, REC=12 ; MOY=15 accepted 
7) 122 receive (17) a RREP MaxSQ=99, REC=12 ; MOY=14 accepted 
17) 66 receive (0) a RREP MaxSQ=51220, REC=18501 ; MOY=3012 refused 
6) 132 receive (17) a RREP MaxSQ=80, REC=12 ; MOY=13 accepted 
8) 74 receive (21) a RREP MaxSQ=112, REC=12 ; MOY=14 accepted 
3) 1 receive (14) a RREP MaxSQ=51, REC=12 ; MOY=17 accepted 
5) 35 receive (17) a RREP MaxSQ=68, REC=12 ; MOY=13 accepted 
8) 39 receive (17) a RREP MaxSQ=112, REC=12 ; MOY=14 accepted 
1) 4 receive (24) a RREP MaxSQ=25, REC=12 ; MOY=25 accepted 
9) 74 receive (12) a RREP MaxSQ=120, REC=4 ; MOY=13 accepted 
1) 14 receive (22) a RREP MaxSQ=22, REC=11 ; MOY=22 accepted 
9) 112 receive (9) a RREP MaxSQ=152, REC=11 ; MOY=16 accepted 
6) 82 receive (0) a RREP MaxSQ=105, REC=11 ; MOY=17 accepted 
2) 14 receive (22) a RREP MaxSQ=44, REC=11 ; MOY=22 accepted 
5) 125 receive (0) a RREP MaxSQ=38050, REC=19001 ; MOY=7610 refused 
